from,to,relation,weight
OnZa,PiAl,family,1
OnZa,FiAr,family,1
OnZa,GaAr,family,1
OnZa,FrBu,family,1
OnZa,ViBu,family,1
OnZa,SaBu,family,1
OnZa,SaCh,family,1
OnZa,DoFe,family,1
OnZa,GiIn,family,1
OnZa,GaLo,family,1
OnZa,GiLo,family,1
OnZa,GiOl,family,1
OnZa,AnSi,family,1
OnZa,FrPa,family,1
OnZa,ViSi,family,1
OnZa,VSdA,family,1
OnZa,PiTa,family,1
GiAb,FiMa,family,1
GiAb,BeTi,family,1
GiAb,PiVe,family,1
GiAb,CaZa,family,1
GiAb,AnMa,family,1
GiAb,GiMa,family,1
GiAb,ViMa,family,1
GiAb,GaTi,family,1
GiAb,GiTi,family,1
GiAb,LoTi,family,1
GiAb,AnVe,family,1
GiAb,CoVe,family,1
GiAb,GiVe,family,1
GiAb,RuVe,family,1
GiAb,GiZa,family,1
GiAb,OnZa,family,1
GiAb,MaAb,family,2
GiAb,PaAl,family,1
GiAb,PiAl,family,1
GiAb,FiAr,family,1
GiAb,GaAr,family,1
GiAb,FrBu,family,1
GiAb,ViBu,family,1
GiAb,SaBu,family,1
GiAb,SaCh,family,1
GiAb,DoFe,family,1
GiAb,GiIn,family,1
GiAb,GaLo,family,1
GiAb,GiLo,family,1
GiAb,GiOl,family,1
GiAb,AnSi,family,1
GiAb,FrPa,family,1
GiAb,ViSi,family,1
GiAb,VSdA,family,1
GiAb,PiTa,family,1
MaAb,FiMa,family,1
MaAb,BeTi,family,1
MaAb,PiVe,family,1
MaAb,CaZa,family,1
MaAb,AnMa,family,1
MaAb,GiMa,family,1
MaAb,ViMa,family,1
MaAb,GaTi,family,1
MaAb,GiTi,family,1
MaAb,LoTi,family,1
MaAb,AnVe,family,1
MaAb,CoVe,family,1
MaAb,GiVe,family,1
MaAb,RuVe,family,1
MaAb,GiZa,family,1
MaAb,OnZa,family,1
MaAb,GiAb,family,2
MaAb,PaAl,family,1
MaAb,PiAl,family,1
MaAb,FiAr,family,1
MaAb,GaAr,family,1
MaAb,FrBu,family,1
MaAb,ViBu,family,1
MaAb,SaBu,family,1
MaAb,SaCh,family,1
MaAb,DoFe,family,1
MaAb,GiIn,family,1
MaAb,GaLo,family,1
MaAb,GiLo,family,1
MaAb,GiOl,family,1
MaAb,AnSi,family,1
MaAb,FrPa,family,1
MaAb,ViSi,family,1
MaAb,VSdA,family,1
MaAb,PiTa,family,1
PaAl,FiMa,family,1
PaAl,BeTi,family,1
PaAl,PiVe,family,1
PaAl,CaZa,family,1
PaAl,AnMa,family,1
PaAl,GiMa,family,1
