from,to,relation,weight,type
RuVe,AnMa,family,1,member
RuVe,GiMa,family,1,member
RuVe,ViMa,family,1,member
RuVe,GaTi,family,1,member
RuVe,GiTi,family,1,member
RuVe,LoTi,family,1,member
RuVe,AnVe,family,2,member
RuVe,CoVe,family,2,member
RuVe,GiVe,family,2,member
RuVe,GiZa,family,1,member
RuVe,OnZa,family,1,member
RuVe,GiAb,family,1,member
RuVe,MaAb,family,1,member
RuVe,PaAl,family,1,member
RuVe,PiAl,family,1,member
RuVe,FiAr,family,1,member
RuVe,GaAr,family,1,member
RuVe,FrBu,family,1,member
RuVe,ViBu,family,1,member
RuVe,SaBu,family,1,member
RuVe,SaCh,family,1,member
RuVe,DoFe,family,1,member
RuVe,GiIn,family,1,member
RuVe,GaLo,family,1,member
RuVe,GiLo,family,1,member
RuVe,GiOl,family,1,member
RuVe,AnSi,family,1,member
RuVe,FrPa,family,1,member
RuVe,ViSi,family,1,member
RuVe,VSdA,family,1,member
RuVe,PiTa,family,1,member
GiZa,FiMa,family,1,member
GiZa,BeTi,family,1,member
GiZa,PiVe,family,1,member
GiZa,CaZa,family,2,member
GiZa,AnMa,family,1,member
GiZa,GiMa,family,1,member
GiZa,ViMa,family,1,member
GiZa,GaTi,family,1,member
GiZa,GiTi,family,1,member
GiZa,LoTi,family,1,member
GiZa,AnVe,family,1,member
GiZa,CoVe,family,1,member
GiZa,GiVe,family,1,member
GiZa,RuVe,family,1,member
GiZa,OnZa,family,2,member
GiZa,GiAb,family,1,member
GiZa,MaAb,family,1,member
GiZa,PaAl,family,1,member
GiZa,PiAl,family,1,member
GiZa,FiAr,family,1,member
GiZa,GaAr,family,1,member
GiZa,FrBu,family,1,member
GiZa,ViBu,family,1,member
GiZa,SaBu,family,1,member
GiZa,SaCh,family,1,member
GiZa,DoFe,family,1,member
GiZa,GiIn,family,1,member
GiZa,GaLo,family,1,member
GiZa,GiLo,family,1,member
GiZa,GiOl,family,1,member
GiZa,AnSi,family,1,member
GiZa,FrPa,family,1,member
GiZa,ViSi,family,1,member
GiZa,VSdA,family,1,member
GiZa,PiTa,family,1,member
OnZa,FiMa,family,1,member
OnZa,BeTi,family,1,member
OnZa,PiVe,family,1,member
OnZa,CaZa,family,2,member
OnZa,AnMa,family,1,member
OnZa,GiMa,family,1,member
OnZa,ViMa,family,1,member
OnZa,GaTi,family,1,member
OnZa,GiTi,family,1,member
OnZa,LoTi,family,1,member
OnZa,AnVe,family,1,member
OnZa,CoVe,family,1,member
OnZa,GiVe,family,1,member
OnZa,RuVe,family,1,member
OnZa,GiZa,family,2,member
OnZa,GiAb,family,1,member
OnZa,MaAb,family,1,member
OnZa,PaAl,family,1,member
OnZa,PiAl,family,1,member
OnZa,FiAr,family,1,member
OnZa,GaAr,family,1,member
OnZa,FrBu,family,1,member
OnZa,ViBu,family,1,member
OnZa,SaBu,family,1,member
OnZa,SaCh,family,1,member
OnZa,DoFe,family,1,member
OnZa,GiIn,family,1,member
OnZa,GaLo,family,1,member
OnZa,GiLo,family,1,member
OnZa,GiOl,family,1,member
OnZa,AnSi,family,1,member
OnZa,FrPa,family,1,member
OnZa,ViSi,family,1,member
OnZa,VSdA,family,1,member
OnZa,PiTa,family,1,member
GiAb,FiMa,family,1,member
GiAb,BeTi,family,1,member
GiAb,PiVe,family,1,member
GiAb,CaZa,family,1,member
GiAb,AnMa,family,1,member
GiAb,GiMa,family,1,member
GiAb,ViMa,family,1,member
GiAb,GaTi,family,1,member
GiAb,GiTi,family,1,member
GiAb,LoTi,family,1,member
GiAb,AnVe,family,1,member
GiAb,CoVe,family,1,member
GiAb,GiVe,family,1,member
GiAb,RuVe,family,1,member
GiAb,GiZa,family,1,member
GiAb,OnZa,family,1,member
GiAb,MaAb,family,2,member
GiAb,PaAl,family,1,member
GiAb,PiAl,family,1,member
GiAb,FiAr,family,1,member
GiAb,GaAr,family,1,member
GiAb,FrBu,family,1,member
GiAb,ViBu,family,1,member
GiAb,SaBu,family,1,member
GiAb,SaCh,family,1,member
GiAb,DoFe,family,1,member
GiAb,GiIn,family,1,member
GiAb,GaLo,family,1,member
GiAb,GiLo,family,1,member
GiAb,GiOl,family,1,member
GiAb,AnSi,family,1,member
GiAb,FrPa,family,1,member
GiAb,ViSi,family,1,member
GiAb,VSdA,family,1,member
GiAb,PiTa,family,1,member
MaAb,FiMa,family,1,member
MaAb,BeTi,family,1,member
MaAb,PiVe,family,1,member
MaAb,CaZa,family,1,member
MaAb,AnMa,family,1,member
MaAb,GiMa,family,1,member
MaAb,ViMa,family,1,member
MaAb,GaTi,family,1,member
MaAb,GiTi,family,1,member
MaAb,LoTi,family,1,member
MaAb,AnVe,family,1,member
MaAb,CoVe,family,1,member
MaAb,GiVe,family,1,member
MaAb,RuVe,family,1,member
MaAb,GiZa,family,1,member
MaAb,OnZa,family,1,member
MaAb,GiAb,family,2,member
MaAb,PaAl,family,1,member
MaAb,PiAl,family,1,member
MaAb,FiAr,family,1,member
MaAb,GaAr,family,1,member
MaAb,FrBu,family,1,member
MaAb,ViBu,family,1,member
MaAb,SaBu,family,1,member
MaAb,SaCh,family,1,member
MaAb,DoFe,family,1,member
MaAb,GiIn,family,1,member
MaAb,GaLo,family,1,member
MaAb,GiLo,family,1,member
MaAb,GiOl,family,1,member
MaAb,AnSi,family,1,member
MaAb,FrPa,family,1,member
MaAb,ViSi,family,1,member
MaAb,VSdA,family,1,member
MaAb,PiTa,family,1,member
PaAl,FiMa,family,1,member
PaAl,BeTi,family,1,member
PaAl,PiVe,family,1,member
PaAl,CaZa,family,1,member
PaAl,AnMa,family,1,member
PaAl,GiMa,family,1,member
PaAl,ViMa,family,1,member
PaAl,GaTi,family,1,member
PaAl,GiTi,family,1,member
PaAl,LoTi,family,1,member
PaAl,AnVe,family,1,member
PaAl,CoVe,family,1,member
PaAl,GiVe,family,1,member
PaAl,RuVe,family,1,member
PaAl,GiZa,family,1,member
PaAl,OnZa,family,1,member
PaAl,GiAb,family,1,member
PaAl,MaAb,family,1,member
PaAl,PiAl,family,2,member
PaAl,FiAr,family,1,member
PaAl,GaAr,family,1,member
PaAl,FrBu,family,1,member
PaAl,ViBu,family,1,member
PaAl,SaBu,family,1,member
PaAl,SaCh,family,1,member
PaAl,DoFe,family,1,member
PaAl,GiIn,family,1,member
PaAl,GaLo,family,1,member
PaAl,GiLo,family,1,member
PaAl,GiOl,family,1,member
PaAl,AnSi,family,1,member
PaAl,FrPa,family,1,member
PaAl,ViSi,family,1,member
PaAl,VSdA,family,1,member
PaAl,PiTa,family,1,member
PiAl,FiMa,family,1,member
PiAl,BeTi,family,1,member
PiAl,PiVe,family,1,member
PiAl,CaZa,family,1,member
PiAl,AnMa,family,1,member
PiAl,GiMa,family,1,member
PiAl,ViMa,family,1,member
PiAl,GaTi,family,1,member
