from,to,relation,weight,type
GiGb,FrAd,family,1,member
GiGb,GiAd,family,1,member
GiGb,MaAd,family,1,member
GiGb,BeCa,family,1,member
GiGb,SaAd,family,1,member
GiGb,SCon,family,1,member
GiGb,GaGr,family,1,member
GiGb,GiaG,family,1,member
GiGb,SGra,family,1,member
GiGb,ViGr,family,1,member
GiaG,SadB,family,1,member
GiaG,MaMa,family,1,member
GiaG,RMar,family,1,member
GiaG,FrAd,family,1,member
GiaG,GiAd,family,1,member
GiaG,MaAd,family,1,member
GiaG,BeCa,family,1,member
GiaG,SaAd,family,1,member
GiaG,SCon,family,1,member
GiaG,GaGr,family,2,member
GiaG,GiGb,family,1,member
GiaG,SGra,family,2,member
GiaG,ViGr,family,2,member
SGra,SadB,family,1,member
SGra,MaMa,family,1,member
SGra,RMar,family,1,member
SGra,FrAd,family,1,member
SGra,GiAd,family,1,member
SGra,MaAd,family,1,member
SGra,BeCa,family,1,member
SGra,SaAd,family,1,member
SGra,SCon,family,1,member
SGra,GaGr,family,2,member
SGra,GiGb,family,1,member
SGra,GiaG,family,2,member
SGra,ViGr,family,2,member
ViGr,SadB,family,1,member
ViGr,MaMa,family,1,member
ViGr,RMar,family,1,member
ViGr,FrAd,family,1,member
ViGr,GiAd,family,1,member
ViGr,MaAd,family,1,member
ViGr,BeCa,family,1,member
ViGr,SaAd,family,1,member
ViGr,SCon,family,1,member
ViGr,GaGr,family,2,member
ViGr,GiGb,family,1,member
ViGr,GiaG,family,2,member
ViGr,SGra,family,2,member
SadB,V,family,1,clan
MaMa,V,family,1,clan
RMar,V,family,1,clan
FrAd,V,family,1,clan
GiAd,V,family,1,clan
MaAd,V,family,1,clan
BeCa,V,family,1,clan
SaAd,V,family,1,clan
SCon,V,family,1,clan
GaGr,V,family,1,clan
GiGb,V,family,1,clan
GiaG,V,family,1,clan
SGra,V,family,1,clan
ViGr,V,family,1,clan
V,SadB,family,1,clan
V,MaMa,family,1,clan
V,RMar,family,1,clan
V,FrAd,family,1,clan
V,GiAd,family,1,clan
V,MaAd,family,1,clan
V,BeCa,family,1,clan
V,SaAd,family,1,clan
V,SCon,family,1,clan
V,GaGr,family,1,clan
V,GiGb,family,1,clan
V,GiaG,family,1,clan
V,SGra,family,1,clan
V,ViGr,family,1,clan
FrcB,SaIn,family,1,member
FrcB,RoSa,family,1,member
SaIn,FrcB,family,1,member
SaIn,RoSa,family,1,member
RoSa,FrcB,family,1,member
RoSa,SaIn,family,1,member
FrcB,U,family,1,clan
Saln,U,family,1,clan
RoSa,U,family,1,clan
U,FrcB,family,1,clan
U,Saln,family,1,clan
U,RoSa,family,1,clan
GiCl,AnFi,family,1,member
GaFi,AnFi,family,2,member
GaFi,CaFi,family,2,member
GaFi,GiFi,family,2,member
GaFi,StFi,family,2,member
AnFi,GaFi,family,2,member
AnFi,CaFi,family,2,member
AnFi,GiFi,family,2,member
AnFi,StFi,family,2,member
CaFi,GaFi,family,2,member
CaFi,AnFi,family,2,member
CaFi,GiFi,family,2,member
CaFi,StFi,family,2,member
GiFi,GaFi,family,2,member
GiFi,AnFi,family,2,member
GiFi,CaFi,family,2,member
GiFi,StFi,family,2,member
StFi,GaFi,family,2,member
StFi,AnFi,family,2,member
StFi,CaFi,family,2,member
StFi,GiFi,family,2,member
GaFi,M,family,1,clan
AnFi,M,family,1,clan
CaFi,M,family,1,clan
GiFi,M,family,1,clan
StFi,M,family,1,clan
M,GaFi,family,1,clan
M,AnFi,family,1,clan
M,CaFi,family,1,clan
M,GiFi,family,1,clan
M,StFi,family,1,clan
CeMa,GaBa,family,1,member
CeMa,ViBa,family,1,member
CeMa,FrBr,family,1,member
CeMa,DiTr,family,1,member
GaBa,CeMa,family,1,member
GaBa,ViBa,family,2,member
GaBa,FrBr,family,1,member
GaBa,DiTr,family,1,member
ViBa,CeMa,family,1,member
ViBa,GaBa,family,2,member
ViBa,FrBr,family,1,member
ViBa,DiTr,family,1,member
FrBr,CeMa,family,1,member
FrBr,GaBa,family,1,member
FrBr,ViBa,family,1,member
FrBr,DiTr,family,1,member
DiTr,CeMa,family,1,member
DiTr,GaBa,family,1,member
DiTr,ViBa,family,1,member
DiTr,FrBr,family,1,member
CeMa,CI,family,1,clan
GaBa,CI,family,1,clan
ViBa,CI,family,1,clan
FrBr,CI,family,1,clan
DiTr,CI,family,1,clan
CI,CeMa,family,1,clan
CI,GaBa,family,1,clan
CI,ViBa,family,1,clan
CI,FrBr,family,1,clan
CI,DiTr,family,1,clan
Vivi,Givi,family,2,member
Vivi,AnGe,family,1,member
Vivi,GiLa,family,1,member
Vivi,SaLa,family,1,member
Givi,Vivi,family,2,member
Givi,AnGe,family,1,member
Givi,GiLa,family,1,member
Givi,SaLa,family,1,member
AnGe,Vivi,family,1,member
AnGe,Givi,family,1,member
AnGe,GiLa,family,1,member
AnGe,SaLa,family,1,member
GiLa,Vivi,family,1,member
GiLa,Givi,family,1,member
GiLa,AnGe,family,1,member
GiLa,SaLa,family,2,member
SaLa,Vivi,family,1,member
SaLa,Givi,family,1,member
SaLa,AnGe,family,1,member
SaLa,GiLa,family,2,member
Vivi,PA,family,1,clan
Givi,PA,family,1,clan
AnGe,PA,family,1,clan
GiLa,PA,family,1,clan
SaLa,PA,family,1,clan
AnGe,SaRi,ally,1,member
AnGe,BePr,ally,1,member
AnGe,AnDC,ally,1,member
AnGe,GiSc,ally,1,member
AnGe,RoRi,ally,1,member
AnGe,FrCM,ally,1,member
AnGe,GCal,ally,1,member
AnGe,GiGr,ally,1,member
AnGe,MiGr,ally,1,member
Pici,GiBo,family,1,member
Pici,AlBo,family,1,member
Pici,GaFi,family,1,member
Pici,BiMa,family,1,member
Pici,MaMi,family,1,member
GiBo,Pici,family,1,member
GiBo,AlBo,family,2,member
GiBo,GaFi,family,1,member
GiBo,BiMa,family,1,member
GiBo,MaMi,family,1,member
AlBo,Pici,family,1,member
AlBo,GiBo,family,2,member
AlBo,GaFi,family,1,member
AlBo,BiMa,family,1,member
AlBo,MaMi,family,1,member
GaFi,Pici,family,1,member
GaFi,GiBo,family,1,member
GaFi,AlBo,family,1,member
GaFi,BiMa,family,1,member
GaFi,MaMi,family,1,member
BiMa,Pici,family,1,member
BiMa,GiBo,family,1,member
BiMa,AlBo,family,1,member
BiMa,GaFi,family,1,member
BiMa,MaMi,family,2,member
MaMi,Pici,family,1,member
MaMi,GiBo,family,1,member
MaMi,AlBo,family,1,member
MaMi,GaFi,family,1,member
MaMi,BiMa,family,2,member
Pici,BO,family,1,clan
GiBo,BO,family,1,clan
AlBo,BO,family,1,clan
GaFi,BO,family,1,clan
BiMa,BO,family,1,clan
MaMi,BO,family,1,clan
BO,Pici,family,1,clan
BO,GiBo,family,1,clan
BO,AlBo,family,1,clan
BO,GaFi,family,1,clan
BO,BiMa,family,1,clan
BO,MaMi,family,1,clan
